dias,data,trat,bloco,NO3,NH4,EPSA,Tsolo,N2O,l1,l2,l3,l4,
110,13,S,1,21.19181303,124.1734383,69.67395224,24.5,29.75938333,,,,,
110,13,S,2,3.543059793,45.80491926,72.48885356,24.5,14.87485417,,,,,
110,13,S,3,19.43529732,83.44641477,69.88752368,23.9,16.766275,,,,,
110,13,17%,1,3.688532664,61.93916,74.24269048,23.6,10.98402,,,,,
110,13,17%,2,35.70880271,232.0163797,70.00323729,25.3,2.488033,,,,,
110,13,17%,3,26.04441944,78.71674666,68.94515498,24.5,6.458104,,,,,
110,13,46%,1,1.035435869,59.29858732,71.46652007,24,1.628094,,,,,
110,13,46%,2,2.19895161,60.32329274,70.81834619,24.1,9.611017,,,,,
110,13,46%,3,4.793142409,94.07559049,72.04269218,24.8,6.196246,,,,,
110,13,75%,1,7.561982644,69.34509158,68.6796895,24.9,2.201485,,,,,
110,13,75%,2,7.101349777,53.52299051,72.27952612,24.3,0.500954,,,,,
110,13,75%,3,1.750570499,59.17271174,69.38634234,24.3,6.474175,,,,,
110,13,CE,1,0.899529,4.990978,55.26539,23.1,11.0395,,,,,
111,14,S,1,3.252928591,41.92027585,79.13070753,23,14.16732083,,,,,
111,14,S,2,3.259891615,46.90610703,75.67082961,23,17.25384167,,,,,
111,14,S,3,9.77325807,57.88205451,80.43958123,22,31.03773333,,,,,
111,14,17%,1,1.445950842,46.50543814,72.91882262,20.6,0.67104,,,,,
111,14,17%,2,4.117816858,68.02289403,78.25310979,23,19.18614,,,,,
111,14,17%,3,1.884381785,48.42652271,75.12879139,23,4.811071,,,,,
111,14,46%,1,1.086417534,53.33858356,74.99728314,22,28.65166,,,,,
111,14,46%,2,6.182429482,63.73464491,73.97109455,22,8.244229,,,,,
111,14,46%,3,2.386806276,72.59990596,80.3595028,22.3,18.9755,,,,,
111,14,75%,1,2.488634631,53.62884345,74.98,24.3,8.84095,,,,,
111,14,75%,2,8.730507909,60.56148927,74.87462809,23,33.92331,,,,,
111,14,75%,3,1.081096626,47.89168004,74.10110013,23,10.1177,,,,,
111,14,CE,1,1.724723,5.137598,55.64046,22.5,2.111,,,,,
116,15,S,1,5.005674621,35.90500851,69.67,25.3,30.110875,,,,,
116,15,S,2,6.073700793,39.87696976,71.10019803,24.6,16.07732083,,,,,
116,15,S,3,16.19950936,42.81610716,68.24062858,25.5,11.4113125,,,,,
116,15,17%,1,2.323771831,29.27279628,76.32239995,23.9,28.99708,,,,,
116,15,17%,2,4.149721316,37.52725441,74.07946412,25,1.007558,,,,,
116,15,17%,3,3.40001675,42.89842726,72.89099245,26.3,20.33911,,,,,
116,15,46%,1,4.169330522,37.24236369,72.16857052,24.3,7.088025,,,,,
116,15,46%,2,1.387846418,33.27630822,70.32786166,23.3,8.517763,,,,,
116,15,46%,3,1.525223409,32.18296357,70.78757935,24.5,31.83463,,,,,
116,15,75%,1,7.025283654,32.78636256,70.84802569,24.5,38.49201,,,,,
116,15,75%,2,7.198335727,34.56469998,70.05400835,24.5,4.197588,,,,,
116,15,75%,3,1.00429758,33.09079032,71.45429214,26.3,32.86598,,,,,
116,15,CE,1,1.953824,5.284269,55.42627,24,6.174,,,,,
125,16,S,1,3.977315309,37.29180729,50.77278592,24,6.36785,,,,,
125,16,S,2,11.80752089,62.0479447,51.97592126,23.6,7.212825,,,,,
125,16,S,3,16.48335639,56.69179534,53.67054157,23,4.262466667,,,,,
125,16,17%,1,4.592330654,40.33552527,54.71390378,22,11.13581,,,,,
125,16,17%,2,3.636917306,56.55848397,57.31512243,24,1.610917,,,,,
125,16,17%,3,3.996112393,42.61382956,53.73631628,25,3.308159,,,,,
125,16,46%,1,3.373667565,68.00178913,56.43410853,23.3,3.724015,,,,,
125,16,46%,2,8.069207592,56.8041987,60.20008742,22,2.665584,,,,,
125,16,46%,3,7.594456857,62.59960075,56.19855891,24.6,3.756801,,,,,
125,16,75%,1,7.140035154,65.06057673,60.57388693,25.6,3.71467,,,,,
125,16,75%,2,12.76747615,46.67259595,63.29425203,25.6,7.564363,,,,,
125,16,75%,3,1.173405979,105.8730115,57.25303547,23,1.544418,,,,,
125,16,CE,1,1.501382,9.5743,67.39506,21.5,1.6644,,,,,
130,17,S,1,4.137534417,31.88867838,68.04588986,24.3,6.590633333,,,,,
130,17,S,2,9.204172575,37.50021788,74.01416816,25.3,1.683525,,,,,
130,17,S,3,33.71971107,156.109364,65.95829728,23,2.875073333,,,,,
130,17,17%,1,4.42363749,32.56460034,71.6440587,23,9.205383,,,,,
130,17,17%,2,5.879800637,44.30810741,69.80004487,23.8,9.846992,,,,,
130,17,17%,3,8.649018861,60.40886398,69.63005367,25.5,0.091906,,,,,
130,17,46%,1,2.705688039,43.49570921,69.1374146,24.5,3.679749,,,,,
130,17,46%,2,6.827798616,80.24876171,66.26151776,23.5,1.872276,,,,,
130,17,46%,3,2.002035916,41.87109582,68.42598912,24.5,13.7645,,,,,
130,17,75%,1,20.0789316,822.4320121,70.7837376,24.5,6.774238,,,,,
130,17,75%,2,4.751402948,32.99413548,68.74746028,24.5,7.263804,,,,,
130,17,75%,3,1.328784471,67.09018624,69.34282355,23.5,6.103833,,,,,
130,17,CE,1,1.100195,0.425449,54.67057,21.6,8.5019,,,,,
192,18,S,1,72.59408,5.847054,85.98,23.23,21.68672358,,,,,
192,18,S,2,42.43772,1.749493,85.35,22.97,42.31797077,,,,,
192,18,S,3,119.3029,5.5135,85.75,22.67,41.22999192,,,,,
192,18,17%,1,52.90816,2.27076,81.84,23.1,18.04672429,,,,,
192,18,17%,2,40.36016,3.479222,79.24,24.37,10.0033562,,,,,
192,18,17%,3,43.62833,2.903354,88.07,22.67,10.0033562,,,,,
192,18,46%,1,59.52073,2.380277,82.17,22.5,12.88021154,,,,,
192,18,46%,2,43.14907,1.718671,79.46,22.83,27.84151681,,,,,
192,18,46%,3,36.78053,2.627267,77.54,22.3,34.92571181,,,,,
192,18,75%,1,42.65198,2.473544,80.53,21.5,16.77981771,,,,,
192,18,75%,2,49.43773,2.985017,81.06,22.5,5.736206377,,,,,
192,18,75%,3,39.49914,6.43741,80.79,23.1,-18.34449182,,,,,
192,18,CE,1,5.009742,39.63139,,,3.1942,,,,,
193,19,S,1,29.95504,3.751105,69.14,23.23,43.37345833,,,,,
193,19,S,2,42.38616,4.647077,80.77,22.97,25.17582917,,,,,
193,19,S,3,31.4577,1.524533,87.22,22.67,20.93020833,,,,,
193,19,17%,1,40.79027,4.582635,81.9,23.1,14.29755,,,,,
193,19,17%,2,37.09311,4.316975,86.44,24.37,15.09015,,,,,
193,19,17%,3,38.96567,1.826529,79.56,22.67,55.47767,,,,,
193,19,46%,1,37.59298,2.895489,78.65,22.5,3.6811,,,,,
193,19,46%,2,47.58158,3.042965,79.45,22.83,3.875918,,,,,
193,19,46%,3,32.70238,1.219122,78.34,22.3,22.06498,,,,,
193,19,75%,1,35.3453,3.201531,77.62,21.5,13.67522,,,,,
193,19,75%,2,38.60309,3.061925,78.45,22.5,-2.86476,,,,,
193,19,75%,3,29.20989,1.178381,76.88,23.1,25.42926,,,,,
193,19,CE,1,2.217506,42.06762,,,-16.56,,,,,
203,20,S,1,39.32776,3.047795,74.82,23.5,31.1637682,,,,,
203,20,S,2,40.44347,2.408056,59.45,22.9,9.739421745,,,,,
203,20,S,3,66.89535,5.266286,91.03,23.77,-2.010565691,,,,,
203,20,17%,1,48.31104,3.356404,71.37,23.43,11.68641308,,,,,
203,20,17%,2,74.17205,2.664764,18.45,22.9,15.84313093,,,,,
203,20,17%,3,41.90411,3.948868,80.08,23.2,15.84313093,,,,,
203,20,46%,1,71.79888,2.617842,81.74,23.1,-11.0581113,,,,,
203,20,46%,2,45.63353,3.552661,74.03724,22.4,12.10421781,,,,,
203,20,46%,3,49.37086,4.06954,77.61,22.87,9.732024957,,,,,
203,20,75%,1,45.32545,2.861042,84.76472,22.53,47.66843732,,,,,
203,20,75%,2,58.71861,2.90783,16.5,23.1,8.796224897,,,,,
203,20,75%,3,64.63174,5.174531,74.79,22.9,20.35697762,,,,,
203,20,CE,1,3.875377,56.25749,,,-98.85281312,,,,,
208,21,S,1,22.8399,1.943329,62.91,23.43,16.88131478,,,,,
208,21,S,2,36.32199,1.984064,65.49,23.3,0.695918884,,,,,
208,21,S,3,30.48757,1.590677,58.69,24.5,-53.40151078,,,,,
208,21,17%,1,29.12388,3.425276,62.09,23.9,15.83830224,,,,,
208,21,17%,2,29.29294,1.324465,66.09,24.37,28.8951324,,,,,
208,21,17%,3,35.1603,1.150323,65.98,22.5,28.8951324,,,,,
208,21,46%,1,23.44325,4.110307,67.81,22.67,6.040785251,,,,,
208,21,46%,2,38.44666,2.28587,63.57,23.67,31.52150493,,,,,
208,21,46%,3,24.1902,1.835472,61.01,22.8,15.09641397,,,,,
208,21,75%,1,38.81921,2.056105,60.25,23.73,12.86336469,,,,,
208,21,75%,2,17.90501,2.372887,66.64,23.33,37.75507273,,,,,
208,21,75%,3,28.21609,2.046123,62.7,22.1,59.26855035,,,,,
208,21,CE,1,,,,,2.2085,,,,,
222,22,S,1,49.88774,3.399376,76.79,23.3,21.33870368,,,,,
222,22,S,2,59.59129,3.0381,72.17,22.5,31.63968387,,,,,
222,22,S,3,51.3394,4.108657,68.19,22.5,29.11162259,,,,,
222,22,17%,1,50.06877,2.333434,71.16,22.2,-16.53141176,,,,,
222,22,17%,2,54.4436,4.763332,66.67,22.5,15.56839661,,,,,
222,22,17%,3,34.83561,3.983613,69.76,22.5,15.56839661,,,,,
222,22,46%,1,50.98122,3.008141,69.87,22.43,-21.71981169,,,,,
222,22,46%,2,42.20829,9.142106,69.27,22.6,2.254283422,,,,,
222,22,46%,3,33.46656,3.513881,64.6,22,23.84290183,,,,,
222,22,75%,1,43.89195,3.389937,74.00671,22.87,114.5682422,,,,,
222,22,75%,2,58.03222,8.220617,86.52,22.33,20.2885508,,,,,
222,22,75%,3,29.05445,7.500922,83.16,21,7.580084648,,,,,
222,22,CE,1,,,,,2.2085,,,,,
229,23,S,1,30.98649,5.494169,55.66,22.93,10.94734558,,,,,
229,23,S,2,44.63409,2.930928,60.53,22.3,5.547221695,,,,,
229,23,S,3,38.65935,7.998124,57.34,22,-12.85988663,,,,,
229,23,17%,1,30.3851,9.363371,72.27,22.57,7.588500911,,,,,
229,23,17%,2,36.51037,5.147527,67.48,23.87,54.6455,,,,,
229,23,17%,3,44.3059,5.257538,67.04,23,54.6455,,,,,
229,23,46%,1,34.57228,6.935023,58.54,23.63,-7.837304219,,,,,
229,23,46%,2,38.51895,4.255016,62.7,23.33,74.08408542,,,,,
229,23,46%,3,42.81126,6.692021,66.51,23,2.192728823,,,,,
229,23,75%,1,36.3158,8.453577,55.27,22.5,103.5021764,,,,,
229,23,75%,2,24.90178,4.96723,51.46,23.33,-9.181722524,,,,,
229,23,75%,3,13.62228,4.323322,54.65,22,256.0876844,,,,,
229,23,CE,1,,,,,-360.572,,,,,
238,24,S,1,45.1326,6.167624,58.73,22,12.08713933,,,,,
238,24,S,2,56.00294,4.259151,62.8,22.5,31.85174759,,,,,
238,24,S,3,29.29141,6.26361,61.91,22.5,0.748910461,,,,,
238,24,17%,1,42.01985,5.033971,63.43,22,7.083647861,,,,,
238,24,17%,2,70.80791,4.832365,60.49,22.5,1.912076348,,,,,
238,24,17%,3,57.25362,10.75242,57.45,22.5,1.912076348,,,,,
238,24,46%,1,18.9817,5.941681,56.99,22,4.066783836,,,,,
238,24,46%,2,19.92107,5.526362,59.9,22.5,5.009518717,,,,,
238,24,46%,3,28.07922,5.331657,48.05,22.5,3.392829603,,,,,
238,24,75%,1,22.16583,11.13104,60.55,22,7.575339827,,,,,
238,24,75%,2,12.25001,11.81793,55.86,22.5,4.56562669,,,,,
238,24,75%,3,20.77151,4.294445,61.67,22.5,-4.160824873,,,,,
238,24,CE,1,,,,,-3.8471,,,,,
245,25,S,1,53.14475,3.815251,64.67,23.5,-12.93202642,,,,,
245,25,S,2,70.01499,4.000334,70.4,23.5,15.05572584,,,,,
245,25,S,3,35.50404,6.472184,61.31,22.83,-3.22886073,,,,,
245,25,17%,1,39.03386,3.861111,66.93,22.5,-77.15545838,,,,,
